index,unnamed,lemma,loc_frequency,fcode
392,392,Pittet,2,ADM3
393,393,CleanHandSaveLives,1,
394,394,Pittets,1,
395,395,Trumps,1,PPL
396,396,WilliamShakespeare,1,
397,397,HenryV,1,
398,398,Wieler,1,PPL
399,399,Gesellschaft&#8220,1,
400,400,Schleswig-Holstein,1,ADM1
401,401,nordischKnoten,1,
402,402,Sars,1,SMU
403,403,Bremen,1,PPLA
404,404,schwäbisch,1,PPL
405,405,Laichingen,1,PPL
406,406,Grünhainiche,1,
407,407,Erzgebirge,1,PPL
408,408,Berlin-Schöneberg,1,PPLX
409,409,StefanKohlbrenner,1,
410,410,Diakoniekrankenhaus,1,
411,411,Siegfried,1,PK
412,412,Real,1,PPLA
413,413,AlfredoDiStéfano,1,
414,414,NovakDjokovic,1,
415,415,Serbe,1,PPLA
416,416,USOpen,1,
417,417,RafaelNadal,1,
418,418,französischsprachig,1,
419,419,Wallonie,1,ADM1
420,420,Lüttich,1,PPL
421,421,hoch,1,PLAT
422,422,SophieWilmès,1,
423,423,UrsulavonderLeyen,2,
424,424,VONKarolte,1,
425,425,METABEISEL,1,
426,426,Brüssel/Rom,1,
427,427,Corona-Fatigue,1,
428,428,Leyen,1,LCTY
429,429,OlivierVéran,2,
430,430,Macron,2,
431,431,Gesundheitsministerium,3,
432,432,Augsburg,4,PPLA2
433,433,EvaWeber,1,
434,434,Oberbayern,1,PPLA
435,435,AugsburgerKlinikum,1,
436,436,Weber,2,PPLA2
437,437,MichaelBeyer,1,
438,438,BR,1,RGN
439,439,RobertKoch-Institut,1,
440,440,Ivena,2,
441,441,bayerischKrankenhausgesellschaft,1,
442,442,Asien,1,CONT
443,443,Burel,1,RGN
444,444,PeterZwanzger,1,
445,445,GesellschaftfürAngstforschungundChefarztderAllgemeinpsychiatrieundPsychosomatik,1,
446,446,KBO-Inn-Salzach-Klinikum,1,
447,447,Wasserburg,1,PPL
448,448,CorneliaBetsch,1,
449,449,UniErfurt,1,
450,450,Betsch,2,
451,451,VONFELIXHÜTTEN,1,
452,452,FOTOS,1,ISLET
453,453,ALESSANDRASCHELLNEGGER,1,
454,454,AmelieKessler,5,
455,455,TheresiaMantwill,4,
456,456,EKATERINAKEL,1,
457,457,MünchenKlinikSchwabing,1,
458,458,Remdesivir,1,
459,459,SaskiaBiskup,6,
460,460,ELISABETHDOSTERT,2,
461,461,ClassseHENZLER,2,
462,462,Tübingen,2,PPLA2
463,463,DirkBiskup,2,
464,464,Covid&#8220,2,
465,465,EU,5,PPL
466,466,Eidgenosse,1,
467,467,Schweizer,1,PPLA3
468,468,schweizerischGesellschaftfürIntensivmedizin,1,
469,469,NICOFRIED,1,
470,470,Belarus,3,PCLI
471,471,Tatjana,1,STM
472,472,Minsker,1,
473,473,BNT162b2,2,
474,474,vereinigtKönigreich,1,
475,475,Verdi,3,PPL
476,476,Amazon,2,RGN
477,477,Koblenz,4,PPLA3
478,478,MonikaDiSilvestre,1,
479,479,Nataleblindato,1,
480,480,SilviaRohwer,2,
481,481,HansMichel,2,PT
482,482,DIETRICHMITTLER,1,
483,483,KlinikumSchongau,1,
484,484,MargaretKeenan,1,
485,485,Coventry,1,PPLA2
486,486,Mittelengland,1,
487,487,Biontec,1,
488,488,WELT,1,AREA
489,489,KlinikumOberlausitzerBergland,1,
490,490,MathiasMengel,1,
491,491,Deutschlandfunk,1,
492,492,PortalT-Online,1,
493,493,Mengel,2,STM
494,494,Zittau,1,PPL
495,495,Görlitz,1,PPLA3
496,496,Sachsen,1,ADM1
497,497,KagnfieZINKANT,1,
498,498,EMA,1,PPLA
499,499,Viechtach,1,PPL
500,500,Zwiesel,3,PPL
501,501,StephanieBlüml,1,
502,502,ViechtacherKrankenhaus,1,
503,503,Blüml,1,FRM
504,504,Söder,5,PPLX
505,505,grüne,1,AREA
506,506,KatharinaSchulze,1,
507,507,MünchnerStaatskanzlei,1,
508,508,Batman,1,PPLA
509,509,GothamCity,1,
510,510,HANNOCHARISIUS,1,
511,511,europäischArzneimittelbehördeEMA,1,
512,512,europäischArzneimittelbehörde,1,
513,513,FarahDemir,3,
514,514,medizinischHochschuleHannover,1,
515,515,MHH,1,PPLA
516,516,BSE,2,AIRP
517,517,SandraRöhren,4,
518,518,TübingerFirmaCurevac,1,
519,519,IngmarHoerr,2,
520,520,TübingerInnenstadt,1,
521,521,Friedrich-Miescher-Straße,1,
522,522,Curevac,2,MT
523,523,Hoerr,2,PPL
524,524,derRiß,1,
525,525,KonradReinhart,1,
526,526,AlternativeListe,1,
527,527,Steglitz,1,PPLX
528,528,Reinhart,1,PPL
529,529,GlobalSepsisAlliance,1,
530,530,WeltgesundheitsorganisationWHO,1,
531,531,Schweden,1,PCLI
532,532,Saudi-Arabien,1,PCLI
533,533,Südafrika,1,PCLI
534,534,UniklinikJena,1,
535,535,Mercedes,1,PPLA
536,536,Beethovens,1,
537,537,MissaSolemnis,1,
538,538,Toscanini,1,PPL
539,539,Karajan,1,PPL
540,540,Furtwängler,1,
541,541,Bernstein,1,MT
